Cod_cliente,Ultima_Compra,Total_transacoes,Valor_total_gasto,Avg_transacao,diversidade_produtos,Dia_fav_compra,UK,Gastos_medios_mensais,Desvio_padrao_gastos_mensais,Tendencia_gastos
12347,2,182,4310.0,23.68,103,1,0,615.7142857142857,341.07078946836157,4.486071428571423
12348,75,27,1437.24,53.23,21,3,0,359.31,203.87568859479052,-100.88399999999999
12349,18,72,1457.55,20.24,72,0,0,1457.55,0.0,0.0
12350,310,16,294.40000000000003,18.4,16,2,0,294.40000000000003,0.0,0.0
12352,36,77,1385.74,18.0,57,1,0,346.435,120.04215384605527,-2.682000000000002
12353,204,4,89.0,22.25,4,3,0,89.0,0.0,0.0
12354,232,58,1079.4,18.61,58,3,0,1079.4,0.0,0.0
12355,214,13,459.40000000000003,35.34,13,0,0,459.40000000000003,0.0,0.0
12356,22,58,2487.43,42.89,52,1,0,829.1433333333333,991.4625854934382,-944.6349999999999
12357,33,131,6207.67,47.39,131,6,0,6207.67,0.0,0.0
12358,1,17,928.0600000000001,54.59,12,1,0,464.03000000000003,83.67901648561606,118.34000000000003
12359,57,248,6372.58,25.7,214,3,0,1593.145,1005.9421883488135,625.846
12360,52,126,2302.06,18.27,104,1,0,767.3533333333334,270.76574771069795,0.09999999999996588
12361,287,9,174.9,19.43,9,4,0,174.9,0.0,0.0
12362,3,256,4737.2300000000005,18.5,200,3,0,592.15375,389.12720138196096,49.11035714285715
12363,109,23,552.0,24.0,23,0,0,276.0,32.668333290818495,-46.20000000000002
12364,7,81,1208.1,14.91,69,4,0,302.025,211.40655138066717,-64.654
12365,291,21,320.69,15.27,21,0,0,320.69,0.0,0.0
12367,4,10,150.9,15.09,10,0,0,150.9,0.0,0.0
12370,51,166,3425.69,20.64,142,1,0,1141.8966666666668,534.2755089215051,-504.37
12371,59,62,1527.96,24.64,62,1,0,1527.96,0.0,0.0
12372,71,49,1196.04,24.41,33,2,0,398.68,70.34687484174405,-5.050000000000011
12373,311,13,324.6,24.97,13,1,0,324.6,0.0,0.0
12374,25,32,622.9300000000001,19.47,32,0,0,622.9300000000001,0.0,0.0
12375,10,15,377.5,25.17,13,4,0,188.75,2.1920310216782832,-3.0999999999999943
12377,315,76,1548.1200000000001,20.37,71,0,0,774.06,321.67701689738414,-454.91999999999996
12378,129,219,4008.62,18.3,219,1,0,4008.62,0.0,0.0
12379,81,38,777.24,20.45,38,0,0,388.62,37.08067960542251,-52.43999999999994
12380,21,100,2427.81,24.28,76,4,0,606.9525,209.04982282939153,82.63699999999997
12381,4,82,1474.81,17.99,69,4,0,491.6033333333333,479.4253326987773,-460.865
12383,184,94,1628.56,17.33,83,2,0,325.712,239.84953735623512,-143.654
12384,28,25,425.27000000000004,17.01,25,2,0,212.635,0.07778174593049973,-0.10999999999998522
12386,337,10,401.9,40.19,10,2,0,200.95000000000002,81.95367593952088,-115.90000000000003
12388,15,100,2780.6600000000003,27.81,57,3,0,463.4433333333333,327.1524836321233,59.20857142857143
12390,79,31,504.84000000000003,16.29,31,2,0,504.84000000000003,0.0,0.0
12391,21,100,460.89,4.61,92,4,0,460.89,0.0,0.0
12393,72,64,1582.6000000000001,24.73,47,2,0,527.5333333333333,109.0752186948682,-58.99999999999999
12394,63,25,1080.48,43.22,25,4,0,540.24,267.5126374584946,378.32
12395,19,144,2682.63,18.63,90,4,0,335.32875,201.63078537887017,7.399166666666669
12397,35,124,2214.9,17.86,109,2,0,1107.4499999999998,3.337544007200443,-4.720000000000027
12398,45,84,1435.66,17.09,84,1,0,1435.66,0.0,0.0
12399,119,55,1033.65,18.79,46,1,0,258.4125,143.61915224532788,-57.111000000000004
12401,303,4,69.3,17.32,4,2,0,69.3,0.0,0.0
12402,323,10,195.6,19.56,10,3,0,195.6,0.0,0.0
12403,49,4,391.7,97.92,4,4,0,391.7,0.0,0.0
12405,148,53,1390.39,26.23,53,3,0,1390.39,0.0,0.0
12406,22,105,3415.3,32.53,92,3,0,1707.65,122.1880517890353,172.79999999999995
12407,49,72,1507.12,20.93,56,2,0,376.78,277.27468306115986,71.21199999999999
12408,32,101,2618.55,25.93,80,4,0,654.6375,83.98929152973409,-26.11700000000002
12410,308,25,533.33,21.33,25,4,0,533.33,0.0,0.0
12412,74,58,1142.88,19.7,42,0,0,380.96000000000004,88.39763118998155,-86.18
12413,66,36,686.1,19.06,28,3,0,228.70000000000002,176.2647937053795,-124.52499999999998
12414,217,15,442.41,29.49,15,2,0,147.47,48.29698437790915,6.045000000000002
12417,3,183,3226.1,17.63,157,3,0,403.2625,175.58576331403248,29.385952380952382
12418,112,34,668.58,19.66,34,4,0,668.58,0.0,0.0
12420,63,29,600.39,20.7,29,4,0,600.39,0.0,0.0
12421,15,41,639.04,15.59,31,6,0,159.76,24.612345140870538,5.550000000000009
12422,95,38,683.5600000000001,17.99,38,4,0,227.85333333333332,75.39590528227203,-45.400000000000006
12423,0,117,1634.31,13.97,96,0,0,204.28875,79.90129168230011,-9.232261904761906
12424,162,30,1760.96,58.7,30,3,0,1760.96,0.0,0.0
12425,78,36,777.2,21.59,36,3,0,777.2,0.0,0.0
12426,194,29,510.73,17.61,29,6,0,510.73,0.0,0.0
12427,21,28,699.8000000000001,24.99,25,0,0,233.26666666666665,25.629782155401436,-22.89
12429,9,94,3388.4,36.05,81,0,0,847.1,325.3753528875023,-11.452000000000009
12430,43,10,216.4,21.64,10,3,0,216.4,0.0,0.0
12431,35,233,6382.45,27.39,162,3,0,797.80625,247.76520359505687,9.876071428571436
12434,84,50,806.14,16.12,46,4,0,403.07,165.20842835642495,233.64
12435,79,36,7829.89,217.5,31,3,0,3914.9450000000006,90.57330760218481,-128.0899999999997
12436,99,15,429.01,28.6,15,3,0,429.01,0.0,0.0
12437,1,184,4447.41,24.17,117,2,0,444.741,375.2729457771,32.12648484848485
12438,14,96,2466.85,25.7,83,4,0,1233.425,655.2829251933855,926.71
12441,366,10,155.55,15.56,10,2,0,155.55,0.0,0.0
12442,3,11,144.06,13.1,11,1,0,144.06,0.0,0.0
12444,21,172,4085.46,23.75,137,1,0,817.092,595.3342472678689,-226.51800000000003
12445,22,3,77.4,25.8,3,3,0,77.4,0.0,0.0
12446,57,57,1002.3100000000001,17.58,57,3,0,1002.3100000000001,0.0,0.0
12447,243,25,431.49,17.26,25,6,0,431.49,0.0,0.0
12448,44,21,365.45,17.4,21,2,0,365.45,0.0,0.0
12449,22,187,3596.29,19.23,117,3,0,899.0725,233.06767291568633,157.809
12450,156,8,197.88,24.74,7,6,0,98.94,4.157787873376896,-5.8799999999999955
12452,16,20,348.57,17.43,20,2,0,348.57,0.0,0.0
12453,134,43,707.09,16.44,43,3,0,707.09,0.0,0.0
12454,56,15,3528.34,235.22,15,4,0,3528.34,0.0,0.0
12455,73,85,2339.86,27.53,84,2,0,467.97200000000004,685.4232305079834,-302.864
12456,44,122,2581.04,21.16,104,2,0,860.3466666666667,160.58273703400792,-12.264999999999986
12457,66,59,2043.23,34.63,52,2,0,681.0766666666667,420.09769355869275,-355.45
12458,71,36,787.4,21.87,34,0,0,393.70000000000005,44.94370701221694,63.56
12461,154,34,626.88,18.44,34,4,0,626.88,0.0,0.0
12462,18,60,937.59,15.63,50,2,0,468.795,177.2221725687844,-250.63
12463,53,79,1200.78,15.2,64,1,0,300.195,27.298125088242475,6.572000000000008
12464,10,22,957.05,43.5,5,3,0,191.41,124.15615369364501,9.939999999999996
12465,17,45,682.19,15.16,45,3,0,341.095,98.77574626394885,-139.69
12468,187,36,657.5400000000001,18.26,35,6,0,328.77000000000004,203.9013114229529,288.36
12472,32,332,6068.11,18.28,218,2,0,866.8728571428572,456.16718348701517,-100.84285714285711
12473,53,161,2596.23,16.13,138,0,0,865.41,618.2121948813368,485.8949999999999
12474,17,408,6745.79,16.53,252,1,0,749.5322222222222,439.08294993024316,88.086
12475,53,35,669.38,19.13,35,0,0,669.38,0.0,0.0
12476,15,224,5898.42,26.33,176,3,0,655.38,573.1895823809083,144.34333333333333
12477,22,300,13219.74,44.07,191,4,0,2643.948,910.9148436434656,-50.95200000000005
12478,3,35,545.99,15.6,35,1,0,545.99,0.0,0.0
12479,11,30,473.2,15.77,30,0,0,473.2,0.0,0.0
12480,28,150,2885.63,19.24,128,4,0,721.4075,206.03467626834077,60.39499999999998
12481,22,209,5020.32,24.02,149,0,0,717.1885714285714,310.3126220673044,-3.907500000000011
12483,17,68,1910.98,28.1,45,1,0,272.9971428571429,93.75036617071346,3.1153571428571474
12484,35,342,3953.7200000000003,11.56,255,4,0,988.4300000000001,210.27280248921082,-55.980000000000004
12488,9,54,1244.66,23.05,45,2,0,414.8866666666666,178.0431426181119,-38.09
12489,336,14,298.93,21.35,14,4,0,298.93,0.0,0.0
12490,5,235,4859.93,20.68,130,2,0,607.49125,345.208488533172,44.769880952380944
12491,38,25,424.40000000000003,16.98,24,1,0,424.40000000000003,0.0,0.0
12492,63,18,227.21,12.62,18,4,0,113.60499999999999,7.375123727775691,10.429999999999993
12493,165,20,379.74,18.99,18,3,0,189.87,9.376235918533613,-13.259999999999991
12494,15,71,1084.1,15.27,62,4,0,180.68333333333337,109.22480939176168,3.6028571428571476
12497,81,13,953.1,73.32,13,0,0,953.1,0.0,0.0
12498,21,21,349.70000000000005,16.65,20,3,0,174.85000000000002,51.47737367038069,-72.80000000000004
12500,23,52,4059.8199999999997,78.07,33,4,0,579.9742857142857,560.3410706244648,129.8192857142857
12501,336,148,2025.39,13.69,148,4,0,2025.39,0.0,0.0
12502,95,142,2995.87,21.1,101,3,0,599.174,183.36386675133136,84.02700000000002
12504,18,8,428.04999999999995,53.51,5,2,0,428.04999999999995,0.0,0.0
12506,232,23,73.5,3.2,23,3,0,73.5,0.0,0.0
12507,134,19,1052.81,55.41,18,0,0,526.405,232.27750655196897,328.48999999999995
12508,26,69,398.27,5.77,57,3,0,398.27,0.0,0.0
12509,284,6,158.5,26.42,6,0,0,158.5,0.0,0.0
12510,142,31,814.5699999999999,26.28,28,1,0,407.28499999999997,268.36823666373033,-379.53
12512,66,34,138.03,4.06,31,1,0,138.03,0.0,0.0
12513,112,34,558.29,16.42,34,4,0,558.29,0.0,0.0
12514,267,51,1017.6800000000001,19.95,51,3,0,1017.6800000000001,0.0,0.0
12515,353,15,278.7,18.58,15,1,0,278.7,0.0,0.0
12516,77,24,1186.06,49.42,19,4,0,593.03,90.26925168627467,127.65999999999997
12517,28,281,2322.84,8.27,231,3,0,580.71,175.5014075916962,-112.25800000000001
12518,0,119,1840.89,15.47,83,4,0,368.178,80.32590690431077,-0.9319999999999937
12519,63,17,286.84000000000003,16.87,16,4,0,286.84000000000003,0.0,0.0
12520,79,147,2346.26,15.96,120,4,0,586.565,357.45296049503725,-187.19600000000003
12521,142,37,545.68,14.75,37,2,0,545.68,0.0,0.0
12522,39,10,156.72,15.67,10,0,0,156.72,0.0,0.0
12523,19,102,1699.77,16.66,83,2,0,188.86333333333334,95.12108914431121,25.933000000000003
12524,9,136,3945.7200000000003,29.01,112,3,0,563.6742857142857,404.1130053115153,28.038928571428585
12526,0,68,1172.66,17.24,63,0,0,390.8866666666667,131.05017410645942,-121.60999999999999
12527,81,17,330.71000000000004,19.45,17,1,0,110.23666666666668,44.460018368567205,-25.365000000000006
12528,9,86,1645.48,19.13,49,0,0,274.24666666666667,92.25483936719344,-19.091999999999995
12530,59,62,1500.28,24.2,50,1,0,375.07000000000005,29.910755033376642,21.27399999999999
12531,14,17,125.22,7.37,17,4,0,125.22,0.0,0.0
12532,30,15,313.83000000000004,20.92,15,2,0,313.83000000000004,0.0,0.0
12534,130,62,981.18,15.83,62,0,0,981.18,0.0,0.0
12535,91,34,716.35,21.07,28,0,0,358.17499999999995,18.773685040502826,-26.55000000000001
12536,59,259,4279.71,16.52,259,1,0,4279.71,0.0,0.0
12538,29,21,363.95,17.33,21,3,0,363.95,0.0,0.0
12539,22,273,5568.35,20.4,157,3,0,1856.1166666666668,1364.6095347876376,-1190.52
12540,19,461,11580.24,25.12,276,1,0,1052.749090909091,610.3284231863128,56.10181818181819
12541,29,49,841.18,17.17,45,3,0,280.3933333333334,82.72280540052625,38.32000000000002
12544,36,18,316.7,17.59,18,3,0,316.7,0.0,0.0
12545,75,48,832.39,17.34,41,4,0,416.195,180.95569637344934,-255.90999999999997
12546,46,67,1021.5,15.25,58,4,0,510.75,233.98163389462857,-330.90000000000003
12547,197,6,151.8,25.3,6,4,0,75.9,78.48885271170678,-111.0
12548,166,4,67.19999999999999,16.8,4,6,0,67.19999999999999,0.0,0.0
12550,79,56,824.83,14.73,56,2,0,824.83,0.0,0.0
12551,357,10,168.0,16.8,10,4,0,168.0,0.0,0.0
12552,39,19,317.82,16.73,19,0,0,317.82,0.0,0.0
12553,8,182,3278.28,18.01,94,4,0,364.25333333333333,184.23845445508925,-3.3258333333333376
12556,50,121,603.71,4.99,100,0,0,301.855,15.619988796410837,-22.089999999999975
12558,7,11,269.96,24.54,11,4,0,269.96,0.0,0.0
12559,310,20,525.71,26.29,20,0,0,262.855,264.8185606221739,-374.51
12560,5,103,1918.01,18.62,90,1,0,959.005,471.3644514067644,-666.6099999999999
12561,302,16,238.85,14.93,16,3,0,238.85,0.0,0.0
12562,8,161,3385.7400000000002,21.03,98,3,0,483.6771428571428,99.97234729568733,23.467499999999994
12564,261,20,402.90000000000003,20.15,20,2,0,402.90000000000003,0.0,0.0
12565,288,9,145.92000000000002,16.21,9,3,0,145.92000000000002,0.0,0.0
12566,86,18,297.65,16.54,18,2,0,297.65,0.0,0.0
12567,22,438,8609.28,19.66,322,6,0,1229.8971428571429,541.2472943339391,-45.257500000000014
12569,2,157,3152.69,20.08,91,3,0,350.2988888888889,166.69074265270734,16.925666666666668
12571,39,34,519.61,15.28,31,0,0,259.805,16.199816356983792,22.909999999999997
12572,8,58,912.4200000000001,15.73,52,2,0,456.21000000000004,31.862231560265855,-45.06
12573,227,28,160.54000000000002,5.73,26,1,0,160.54000000000002,0.0,0.0
12574,315,10,182.45000000000002,18.24,10,4,0,182.45000000000002,0.0,0.0
12576,35,88,1315.83,14.95,72,4,0,263.16600000000005,80.57712628283538,34.576
12577,35,146,653.85,4.48,136,4,0,326.92499999999995,185.31147414555852,262.07
12578,21,112,2402.51,21.45,110,3,0,1201.255,298.97181815348426,-422.81000000000006
12579,78,28,386.42,13.8,28,3,0,386.42,0.0,0.0
12580,246,23,379.7,16.51,23,3,0,379.7,0.0,0.0
12581,39,14,179.71,12.84,14,0,0,179.71,0.0,0.0
12582,238,20,351.36,17.57,20,3,0,175.68,14.877526676164944,21.039999999999992
12583,2,232,6705.38,28.9,114,4,0,558.7816666666666,264.7256884822934,5.9778321678321715
12584,3,95,2254.15,23.73,43,1,0,281.76875,201.12487318206072,21.790119047619047
12585,234,85,1824.1,21.46,76,3,0,912.05,343.3710529441874,-485.5999999999999
12586,17,11,196.94000000000003,17.9,11,1,0,196.94000000000003,0.0,0.0
12587,7,3,104.0,34.67,3,4,0,104.0,0.0,0.0
12588,39,9,174.89999999999998,19.43,9,0,0,174.89999999999998,0.0,0.0
12589,28,33,574.68,17.41,28,4,0,287.34000000000003,245.84688568293882,347.68
12590,211,67,9341.26,139.42,67,3,0,9341.26,0.0,0.0
12591,317,25,368.85,14.75,25,2,0,368.85,0.0,0.0
12592,92,16,401.6,25.1,10,1,0,200.8,18.384776310850235,-26.0
12593,108,20,382.1,19.1,13,1,0,191.05,12.657211383239215,-17.900000000000006
12594,37,114,3208.2200000000003,28.14,49,0,0,356.4688888888889,257.42545180325726,22.661666666666665
12596,51,25,450.27,18.01,24,0,0,225.135,15.817978695143072,22.370000000000005
