,Cod_cliente,Ultima_Compra,Total_transacoes,Valor_total_gasto,Avg_transacao,diversidade_produtos,Dia_fav_compra,UK,Gastos_medios_mensais,Desvio_padrao_gastos_mensais,Tendencia_gastos
0,12347,2,182,4310.0,23.68,103,1,0,615.7142857142857,341.0707894683616,4.486071428571423
1,12348,75,27,1437.24,53.23,21,3,0,359.31,203.8756885947905,-100.884
2,12349,18,72,1457.55,20.24,72,0,0,1457.55,0.0,0.0
3,12350,310,16,294.40000000000003,18.4,16,2,0,294.40000000000003,0.0,0.0
4,12352,36,77,1385.74,18.0,57,1,0,346.435,120.04215384605529,-2.682000000000002
5,12353,204,4,89.0,22.25,4,3,0,89.0,0.0,0.0
6,12354,232,58,1079.4,18.61,58,3,0,1079.4,0.0,0.0
7,12355,214,13,459.4,35.34,13,0,0,459.4,0.0,0.0
8,12356,22,58,2487.43,42.89,52,1,0,829.1433333333333,991.4625854934382,-944.635
9,12357,33,131,6207.67,47.39,131,6,0,6207.67,0.0,0.0
10,12358,1,17,928.06,54.59,12,1,0,464.03,83.67901648561606,118.34000000000005
11,12359,57,248,6372.58,25.7,214,3,0,1593.145,1005.9421883488136,625.846
12,12360,52,126,2302.06,18.27,104,1,0,767.3533333333334,270.76574771069795,0.0999999999999658
13,12361,287,9,174.9,19.43,9,4,0,174.9,0.0,0.0
14,12362,3,256,4737.2300000000005,18.5,200,3,0,592.15375,389.12720138196096,49.11035714285715
15,12363,109,23,552.0,24.0,23,0,0,276.0,32.668333290818495,-46.20000000000002
16,12364,7,81,1208.1,14.91,69,4,0,302.025,211.4065513806672,-64.654
17,12365,291,21,320.69,15.27,21,0,0,320.69,0.0,0.0
18,12367,4,10,150.9,15.09,10,0,0,150.9,0.0,0.0
19,12370,51,166,3425.69,20.64,142,1,0,1141.8966666666668,534.2755089215051,-504.37
20,12371,59,62,1527.96,24.64,62,1,0,1527.96,0.0,0.0
21,12372,71,49,1196.04,24.41,33,2,0,398.68,70.34687484174405,-5.050000000000011
22,12373,311,13,324.6,24.97,13,1,0,324.6,0.0,0.0
23,12374,25,32,622.9300000000001,19.47,32,0,0,622.9300000000001,0.0,0.0
24,12375,10,15,377.5,25.17,13,4,0,188.75,2.1920310216782832,-3.0999999999999943
25,12377,315,76,1548.12,20.37,71,0,0,774.06,321.67701689738414,-454.92
26,12378,129,219,4008.62,18.3,219,1,0,4008.62,0.0,0.0
27,12379,81,38,777.24,20.45,38,0,0,388.62,37.08067960542251,-52.43999999999994
28,12380,21,100,2427.81,24.28,76,4,0,606.9525,209.04982282939156,82.63699999999997
29,12381,4,82,1474.81,17.99,69,4,0,491.6033333333333,479.4253326987773,-460.865
30,12383,184,94,1628.56,17.33,83,2,0,325.712,239.84953735623512,-143.654
31,12384,28,25,425.27,17.01,25,2,0,212.635,0.0777817459304997,-0.1099999999999852
32,12386,337,10,401.9,40.19,10,2,0,200.95,81.95367593952088,-115.90000000000003
33,12388,15,100,2780.6600000000003,27.81,57,3,0,463.4433333333333,327.1524836321233,59.20857142857143
34,12390,79,31,504.84,16.29,31,2,0,504.84,0.0,0.0
35,12391,21,100,460.89,4.61,92,4,0,460.89,0.0,0.0
36,12393,72,64,1582.6,24.73,47,2,0,527.5333333333333,109.0752186948682,-58.99999999999999
37,12394,63,25,1080.48,43.22,25,4,0,540.24,267.5126374584946,378.32
38,12395,19,144,2682.63,18.63,90,4,0,335.32875,201.63078537887017,7.399166666666669
39,12397,35,124,2214.9,17.86,109,2,0,1107.4499999999998,3.337544007200443,-4.720000000000027
40,12398,45,84,1435.66,17.09,84,1,0,1435.66,0.0,0.0
41,12399,119,55,1033.65,18.79,46,1,0,258.4125,143.61915224532788,-57.111
42,12401,303,4,69.3,17.32,4,2,0,69.3,0.0,0.0
43,12402,323,10,195.6,19.56,10,3,0,195.6,0.0,0.0
44,12403,49,4,391.7,97.92,4,4,0,391.7,0.0,0.0
45,12405,148,53,1390.39,26.23,53,3,0,1390.39,0.0,0.0
46,12406,22,105,3415.3,32.53,92,3,0,1707.65,122.1880517890353,172.79999999999995
47,12407,49,72,1507.12,20.93,56,2,0,376.78,277.27468306115986,71.21199999999999
48,12408,32,101,2618.55,25.93,80,4,0,654.6375,83.98929152973409,-26.11700000000002
49,12410,308,25,533.33,21.33,25,4,0,533.33,0.0,0.0
50,12412,74,58,1142.88,19.7,42,0,0,380.96,88.39763118998155,-86.18
51,12413,66,36,686.1,19.06,28,3,0,228.7,176.2647937053795,-124.52499999999998
52,12414,217,15,442.41,29.49,15,2,0,147.47,48.29698437790915,6.045000000000002
53,12417,3,183,3226.1,17.63,157,3,0,403.2625,175.58576331403248,29.385952380952386
54,12418,112,34,668.58,19.66,34,4,0,668.58,0.0,0.0
55,12420,63,29,600.39,20.7,29,4,0,600.39,0.0,0.0
56,12421,15,41,639.04,15.59,31,6,0,159.76,24.612345140870534,5.550000000000009
57,12422,95,38,683.5600000000001,17.99,38,4,0,227.85333333333327,75.39590528227203,-45.400000000000006
58,12423,0,117,1634.31,13.97,96,0,0,204.28875,79.90129168230011,-9.232261904761906
59,12424,162,30,1760.96,58.7,30,3,0,1760.96,0.0,0.0
60,12425,78,36,777.2,21.59,36,3,0,777.2,0.0,0.0
61,12426,194,29,510.73,17.61,29,6,0,510.73,0.0,0.0
